type        entry_flag  entry_name                              entry_disp                              version                 latest                  release         support         web_regexp                                                                                                                                      web_path                                                                                                                                        web_tstamp                                      web_size        web_check                                       web_status      iso_path                                                                                iso_tstamp                                      iso_size        iso_volume                                  rmk_path                                                                                rmk_tstamp                                      rmk_size        rmk_volume                                  ldr_initrd                                                                              ldr_kernel                                                                              cfg_path                                                                                cfg_tstamp                                      lnk_path                                                                                options                                                     create_flag 
netinst     o           centos-stream-netinst-9                 CentOS%20Stream%209                     centos-stream-9         centos-stream-9         2021-12-03      2027-05-31      https://mirror.stream.centos.org/9-stream/BaseOS/x86_64/iso/CentOS-Stream-9-latest-x86_64-boot.iso                                              https://mirror.stream.centos.org/9-stream/BaseOS/x86_64/iso/CentOS-Stream-9-latest-x86_64-boot.iso                                              2026-09-14T03:56:22+00:00                       1569357824      2026-09-15T18:00:08.837015+00:00                200             :_DIRS_ISOS_:/linux/centos/CentOS-Stream-9-latest-x86_64-boot.iso                       2026-07-28T18:14:43+00:00                       1593835520      -                                           :_DIRS_RMAK_:/CentOS-Stream-9-latest-x86_64-boot_kickstart.iso                          -                                               -               -                                           :_DIRS_LOAD_:/centos-stream-netinst-9/images/pxeboot/initrd.img                         :_DIRS_LOAD_:/centos-stream-netinst-9/images/pxeboot/vmlinuz                            :_DIRS_CONF_:/kickstart/ks_centos-stream-9_net.cfg                                      -                                               -                                                                                       -                                                           -           
netinst     o           centos-stream-netinst-10                CentOS%20Stream%2010                    centos-stream-10        centos-stream-10        2024-12-12      2030-05-31      https://mirror.stream.centos.org/10-stream/BaseOS/x86_64/iso/CentOS-Stream-10-latest-x86_64-boot.iso                                            https://mirror.stream.centos.org/10-stream/BaseOS/x86_64/iso/CentOS-Stream-10-latest-x86_64-boot.iso                                            2026-09-14T04:16:34+00:00                       936122368       2026-09-15T18:00:09.430263+00:00                200             :_DIRS_ISOS_:/linux/centos/CentOS-Stream-10-latest-x86_64-boot.iso                      2026-07-28T15:05:13+00:00                       960919552       -                                           :_DIRS_RMAK_:/CentOS-Stream-10-latest-x86_64-boot_kickstart.iso                         -                                               -               -                                           :_DIRS_LOAD_:/centos-stream-netinst-10/images/pxeboot/initrd.img                        :_DIRS_LOAD_:/centos-stream-netinst-10/images/pxeboot/vmlinuz                           :_DIRS_CONF_:/kickstart/ks_centos-stream-10_net.cfg                                     -                                               -                                                                                       -                                                           -           
netinst     o           almalinux-netinst-9                     Alma%20Linux%209                        almalinux-9             almalinux-9.6           2025-05-20      20xx-xx-xx      https://repo.almalinux.org/almalinux/9/isos/x86_64/AlmaLinux-9-latest-x86_64-boot.iso                                                           https://repo.almalinux.org/almalinux/9/isos/x86_64/AlmaLinux-9-latest-x86_64-boot.iso                                                           2026-05-24T07:15:35+00:00                       1519271936      2026-09-15T18:00:09.486431+00:00                200             :_DIRS_ISOS_:/linux/almalinux/AlmaLinux-9-latest-x86_64-boot.iso                        2026-05-24T07:15:35+00:00                       1519271936      -                                           :_DIRS_RMAK_:/AlmaLinux-9-latest-x86_64-boot_kickstart.iso                              -                                               -               -                                           :_DIRS_LOAD_:/almalinux-netinst-9/images/pxeboot/initrd.img                             :_DIRS_LOAD_:/almalinux-netinst-9/images/pxeboot/vmlinuz                                :_DIRS_CONF_:/kickstart/ks_almalinux-9_net.cfg                                          -                                               -                                                                                       -                                                           -           
netinst     o           almalinux-netinst-10                    Alma%20Linux%2010                       almalinux-10            almalinux-10.0          2025-05-27      20xx-xx-xx      https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10-latest-x86_64-boot.iso                                                         https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10-latest-x86_64-boot.iso                                                         2026-05-23T21:25:40+00:00                       1056202752      2026-09-15T18:00:09.503697+00:00                200             :_DIRS_ISOS_:/linux/almalinux/AlmaLinux-10-latest-x86_64-boot.iso                       2026-05-23T21:25:40+00:00                       1056202752      -                                           :_DIRS_RMAK_:/AlmaLinux-10-latest-x86_64-boot_kickstart.iso                             -                                               -               -                                           :_DIRS_LOAD_:/almalinux-netinst-10/images/pxeboot/initrd.img                            :_DIRS_LOAD_:/almalinux-netinst-10/images/pxeboot/vmlinuz                               :_DIRS_CONF_:/kickstart/ks_almalinux-10_net.cfg                                         -                                               -                                                                                       -                                                           -           
netinst     o           rockylinux-netinst-9                    Rocky%20Linux%209                       rockylinux-9            rockylinux-9.6          2024-11-19      20xx-xx-xx      https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9-latest-x86_64-boot.iso                                                          https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9-latest-x86_64-boot.iso                                                          2026-05-25T17:10:54+00:00                       1480048640      2026-09-15T18:00:10.731745+00:00                200             :_DIRS_ISOS_:/linux/rockylinux/Rocky-9-latest-x86_64-boot.iso                           2026-05-25T17:10:54+00:00                       1480048640      -                                           :_DIRS_RMAK_:/Rocky-9-latest-x86_64-boot_kickstart.iso                                  -                                               -               -                                           :_DIRS_LOAD_:/rockylinux-netinst-9/images/pxeboot/initrd.img                            :_DIRS_LOAD_:/rockylinux-netinst-9/images/pxeboot/vmlinuz                               :_DIRS_CONF_:/kickstart/ks_rockylinux-9_net.cfg                                         -                                               -                                                                                       -                                                           -           
netinst     o           rockylinux-netinst-10                   Rocky%20Linux%2010                      rockylinux-10           rockylinux-10.0         20xx-xx-xx      20xx-xx-xx      https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10-latest-x86_64-boot.iso                                                        https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10-latest-x86_64-boot.iso                                                        2026-05-25T20:58:27+00:00                       1049538560      2026-09-15T18:00:10.921072+00:00                200             :_DIRS_ISOS_:/linux/rockylinux/Rocky-10-latest-x86_64-boot.iso                          2026-05-25T20:58:27+00:00                       1049538560      -                                           :_DIRS_RMAK_:/Rocky-10-latest-x86_64-boot_kickstart.iso                                 -                                               -               -                                           :_DIRS_LOAD_:/rockylinux-netinst-10/images/pxeboot/initrd.img                           :_DIRS_LOAD_:/rockylinux-netinst-10/images/pxeboot/vmlinuz                              :_DIRS_CONF_:/kickstart/ks_rockylinux-10_net.cfg                                        -                                               -                                                                                       -                                                           -           
netinst     o           miraclelinux-netinst-9                  Miracle%20Linux%209                     miraclelinux-9          miraclelinux-9.6        2025-07-14      20xx-xx-xx      https://repo.dist.miraclelinux.net/miraclelinux/isos/9.6-released/x86_64/MIRACLELINUX-9.[0-9.-]+-rtm-minimal-x86_64.iso                         https://repo.dist.miraclelinux.net/miraclelinux/isos/9.6-released/x86_64/MIRACLELINUX-9.6-rtm-minimal-x86_64.iso                                2025-07-09T05:20:51+00:00                       2676490240      2026-09-15T18:00:11.094528+00:00                200             :_DIRS_ISOS_:/linux/miraclelinux/MIRACLELINUX-9.6-rtm-minimal-x86_64.iso                2025-07-09T05:20:51+00:00                       2676490240      -                                           :_DIRS_RMAK_:/MIRACLELINUX-9.6-rtm-minimal-x86_64_kickstart.iso                         -                                               -               -                                           :_DIRS_LOAD_:/miraclelinux-netinst-9/images/pxeboot/initrd.img                          :_DIRS_LOAD_:/miraclelinux-netinst-9/images/pxeboot/vmlinuz                             :_DIRS_CONF_:/kickstart/ks_miraclelinux-9_net.cfg                                       -                                               -                                                                                       -                                                           -           
netinst     x           opensuse-leap-netinst-15.6              openSUSE%20Leap%2015.6                  opensuse-leap-15.6      opensuse-leap-15.6      2024-06-12      2026-04-30      https://download.opensuse.org/distribution/leap/15.6/iso/openSUSE-Leap-15.6-NET-x86_64-Media.iso                                                https://download.opensuse.org/distribution/leap/15.6/iso/openSUSE-Leap-15.6-NET-x86_64-Media.iso                                                2024-06-20T11:42:39+00:00                       273678336       2026-09-15T18:00:12.185489+00:00                200             :_DIRS_ISOS_:/linux/opensuse/openSUSE-Leap-15.6-NET-x86_64-Media.iso                    2024-06-20T11:42:39+00:00                       273678336       -                                           :_DIRS_RMAK_:/openSUSE-Leap-15.6-NET-x86_64-Media_autoyast.iso                          -                                               -               -                                           :_DIRS_LOAD_:/opensuse-leap-netinst-15.6/boot/x86_64/loader/initrd                      :_DIRS_LOAD_:/opensuse-leap-netinst-15.6/boot/x86_64/loader/linux                       :_DIRS_CONF_:/autoyast/autoinst_leap-15.6_net.xml                                       -                                               -                                                                                       -                                                           -           
netinst     o           opensuse-leap-netinst-16.0              openSUSE%20Leap%2016.0                  opensuse-leap-16.0      opensuse-leap-16.0      2025-10-01      2027-10-31      https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-online-installer-x86_64.install.iso                                      https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-online-installer-x86_64.install.iso                                      2026-06-20T11:22:14+00:00                       746586112       2026-09-15T18:00:13.001908+00:00                200             :_DIRS_ISOS_:/linux/opensuse/Leap-16.0-online-installer-x86_64.install.iso              2026-06-20T11:22:14+00:00                       746586112       -                                           :_DIRS_RMAK_:/Leap-16.0-online-installer-x86_64.install_agama.iso                       -                                               -               -                                           :_DIRS_LOAD_:/opensuse-leap-netinst-16.0/boot/x86_64/loader/initrd                      :_DIRS_LOAD_:/opensuse-leap-netinst-16.0/boot/x86_64/loader/linux                       :_DIRS_CONF_:/agama/autoinst_leap-16.0.json                                             -                                               -                                                                                       -                                                           -           
netinst     o           opensuse-leap-netinst-16.1              openSUSE%20Leap%2016.1                  opensuse-leap-16.1      opensuse-leap-16.1      20xx-xx-xx      20xx-xx-xx      https://download.opensuse.org/distribution/leap/16.1/offline/Leap-16.1-online-installer-x86_64.install.iso                                      https://download.opensuse.org/distribution/leap/16.1/offline/Leap-16.1-online-installer-x86_64.install.iso                                      2026-09-05T20:01:51+00:00                       764411904       2026-09-15T18:00:13.862329+00:00                200             :_DIRS_ISOS_:/linux/opensuse/Leap-16.1-online-installer-x86_64.install.iso              2026-07-27T16:19:49+00:00                       788529152       -                                           :_DIRS_RMAK_:/Leap-16.1-online-installer-x86_64.install_agama.iso                       -                                               -               -                                           :_DIRS_LOAD_:/opensuse-leap-netinst-16.1/boot/x86_64/loader/initrd                      :_DIRS_LOAD_:/opensuse-leap-netinst-16.1/boot/x86_64/loader/linux                       :_DIRS_CONF_:/agama/autoinst_leap-16.1.json                                             -                                               -                                                                                       -                                                           -           
