version                 name                    version_id              code_name                               life            release         support         long_term       rhel            kerne                       note                        wallpaper                                                                               create_flag sort_flag   
fedora-43               Fedora                  43                      -                                       -               2025-10-28      2026-12-09      -               -               6.18                        -                           -                                                                                       -           0           
fedora-44               Fedora                  44                      -                                       -               2026-04-28      2027-06-02      -               -               6.19                        -                           -                                                                                       -           0           
fedora-45               Fedora                  45                      -                                       -               2026-10-20      2027-11-24      -               -               7.0                         -                           -                                                                                       -           0           
fedora-46               Fedora                  46                      -                                       -               2027-04-20      -               -               -               -                           -                           -                                                                                       -           0           
centos-7.4              CentOS                  7.4-1708                -                                       EOL             2017-09-14      -               -               2017-08-01      3.10.0-693                  -                           -                                                                                       -           0           
centos-7.5              CentOS                  7.5-1804                -                                       EOL             2018-05-10      -               -               2018-04-10      3.10.0-862                  -                           -                                                                                       -           0           
centos-7.6              CentOS                  7.6-1810                -                                       EOL             2018-12-03      -               -               2018-10-30      3.10.0-957                  -                           -                                                                                       -           0           
centos-7.7              CentOS                  7.7-1908                -                                       EOL             2019-09-17      -               -               2019-08-06      3.10.0-1062                 -                           -                                                                                       -           0           
centos-7.8              CentOS                  7.8-2003                -                                       EOL             2020-04-27      -               -               2020-03-30      3.10.0-1127                 -                           -                                                                                       -           0           
centos-7.9              CentOS                  7.9-2009                -                                       EOL             2020-11-12      2024-06-30      -               2020-09-29      3.10.0-1160                 -                           -                                                                                       -           0           
centos-8.0              CentOS                  8.0-1905                -                                       EOL             2019-09-24      -               -               2019-05-07      4.18.0-80                   -                           -                                                                                       -           0           
centos-8.1              CentOS                  8.1-1911                -                                       EOL             2020-01-15      -               -               2019-11-05      4.18.0-147                  -                           -                                                                                       -           0           
centos-8.2              CentOS                  8.2-2004                -                                       EOL             2020-06-15      -               -               2020-04-28      4.18.0-193                  -                           -                                                                                       -           0           
centos-8.3              CentOS                  8.3-2011                -                                       EOL             2020-11-03      -               -               2020-12-07      4.18.0-240                  -                           -                                                                                       -           0           
centos-8.4              CentOS                  8.4-2015                -                                       EOL             2021-06-03      -               -               2021-05-18      4.18.0-305                  -                           -                                                                                       -           0           
centos-8.5              CentOS                  8.5-2111                -                                       EOL             2021-11-16      2021-12-31      -               2021-11-09      4.18.0-348                  -                           -                                                                                       -           0           
centos-stream-8         CentOS%20Stream         8                       -                                       EOL             2019-09-24      2024-05-31      -               -               4.18.0                      -                           -                                                                                       -           0           
centos-stream-9         CentOS%20Stream         9                       -                                       -               2021-12-03      2027-05-31      -               -               5.14.0                      -                           -                                                                                       -           0           
centos-stream-10        CentOS%20Stream         10                      Coughlan                                -               2024-12-12      2030-05-31      -               -               6.12.0                      -                           -                                                                                       -           0           
almalinux-8.3           AlmaLinux               8.3                     Purple%20Manul                          EOL             2021-03-30      -               -               2020-11-03      4.18.0-240                  -                           -                                                                                       -           0           
almalinux-8.4           AlmaLinux               8.4                     Electric%20Cheetah                      EOL             2021-05-26      -               -               2021-05-18      4.18.0-305                  -                           -                                                                                       -           0           
almalinux-8.5           AlmaLinux               8.5                     Arctic%20Sphynx                         EOL             2021-11-12      -               -               2021-11-09      4.18.0-348                  -                           -                                                                                       -           0           
almalinux-8.6           AlmaLinux               8.6                     Sky%20Tiger                             EOL             2022-05-12      -               -               2022-05-10      4.18.0-372                  -                           -                                                                                       -           0           
almalinux-8.7           AlmaLinux               8.7                     Stone%20Smilodon                        EOL             2022-11-10      -               -               2022-11-09      4.18.0-425                  -                           -                                                                                       -           0           
almalinux-8.8           AlmaLinux               8.8                     Sapphire%20Caracal                      EOL             2023-05-18      -               -               2023-05-16      4.18.0-477                  -                           -                                                                                       -           0           
almalinux-8.9           AlmaLinux               8.9                     Midnight%20Oncilla                      EOL             2023-11-21      -               -               2023-11-14      4.18.0-513.5.1              -                           -                                                                                       -           0           
almalinux-8.10          AlmaLinux               8.10                    Cerulean%20Leopard                      -               2024-05-28      -               -               2024-05-22      4.18.0-553                  -                           -                                                                                       -           0           
almalinux-9.0           AlmaLinux               9.0                     Emerald%20Puma                          EOL             2022-05-26      -               -               2022-05-17      5.14.0-70.13.1              -                           -                                                                                       -           0           
almalinux-9.1           AlmaLinux               9.1                     Lime%20Lynx                             EOL             2022-11-17      -               -               2022-11-15      5.14.0-162.6.1              -                           -                                                                                       -           0           
almalinux-9.2           AlmaLinux               9.2                     Turquoise%20Kodkod                      EOL             2023-05-10      -               -               2023-05-10      5.14.0-284.11.1             -                           -                                                                                       -           0           
almalinux-9.3           AlmaLinux               9.3                     Shamrock%20Pampas%20Cat                 EOL             2023-11-13      -               -               2023-11-07      5.14.0-362.8.1              -                           -                                                                                       -           0           
almalinux-9.4           AlmaLinux               9.4                     Seafoam%20Ocelot                        EOL             2024-05-06      -               -               2024-04-30      5.14.0-427.13.1             -                           -                                                                                       -           0           
almalinux-9.5           AlmaLinux               9.5                     Teal%20Serval                           EOL             2024-11-18      -               -               2024-11-13      5.14.0-503.11.1             -                           -                                                                                       -           0           
almalinux-9.6           AlmaLinux               9.6                     Sage%20Margay                           EOL             2025-05-20      -               -               2025-05-20      5.14.0-570.12.1             -                           -                                                                                       -           0           
almalinux-9.7           AlmaLinux               9.7                     Moss%20Jungle%20Cat                     EOL             2025-11-17      -               -               2025-11-11      5.14.0-611.5.1              -                           -                                                                                       -           0           
almalinux-9.8           AlmaLinux               9.8                     Olive%20Jaguar                          -               2026-05-26      -               -               2026-05-19      5.14.0-687.5.3              -                           -                                                                                       -           0           
almalinux-10.0          AlmaLinux               10.0                    Purple%20Lion                           EOL             2025-05-27      -               -               2025-05-13      6.12.0-55.9.1               -                           /usr/share/backgrounds/almalinux-day.jpg                                                -           0           
almalinux-10.1          AlmaLinux               10.1                    Heliotrope%20Lion                       EOL             2025-11-24      -               -               2025-11-11      6.12.0-124.8.1              -                           /usr/share/backgrounds/almalinux-day.jpg                                                -           0           
almalinux-10.2          AlmaLinux               10.2                    Lavender%20Lion                         -               2026-05-26      -               -               2026-05-19      6.12.0-211.7.3              -                           /usr/share/backgrounds/almalinux-day.jpg                                                -           0           
rockylinux-8.3          Rocky%20Linux           8.3                     -                                       EOL             2021-05-01      -               -               2020-11-03      4.18.0-240                  -                           -                                                                                       -           0           
rockylinux-8.4          Rocky%20Linux           8.4                     -                                       EOL             2021-06-21      -               -               2021-05-18      4.18.0-305                  -                           -                                                                                       -           0           
rockylinux-8.5          Rocky%20Linux           8.5                     -                                       EOL             2021-11-15      -               -               2021-11-09      4.18.0-348                  -                           -                                                                                       -           0           
rockylinux-8.6          Rocky%20Linux           8.6                     -                                       EOL             2022-05-16      -               -               2022-05-10      4.18.0-372.9.1              -                           -                                                                                       -           0           
rockylinux-8.7          Rocky%20Linux           8.7                     -                                       EOL             2022-11-14      -               -               2022-11-09      4.18.0-425.3.1              -                           -                                                                                       -           0           
rockylinux-8.8          Rocky%20Linux           8.8                     -                                       EOL             2023-05-20      -               -               2023-05-16      4.18.0-477.10.1             -                           -                                                                                       -           0           
rockylinux-8.9          Rocky%20Linux           8.9                     -                                       EOL             2023-11-22      -               -               2023-11-14      4.18.0-513.5.1              -                           -                                                                                       -           0           
