version             name            version_id      code_name                   life        release     support     long_term   rhel        kerne                   note
rockylinux-8.8      Rocky%20Linux   8.8             -                           EOL         2023-05-20  -           -           2023-05-16  4.18.0-477.10.1         -
rockylinux-8.9      Rocky%20Linux   8.9             -                           EOL         2023-11-22  -           -           2023-11-14  4.18.0-513.5.1          -
rockylinux-8.10     Rocky%20Linux   8.10            Green%20Obsidian            -           2024-05-30  -           -           2024-05-22  4.18.0-553              -
rockylinux-9.0      Rocky%20Linux   9.0             -                           EOL         2022-07-14  -           -           2022-05-17  5.14.0-70.13.1          -
rockylinux-9.1      Rocky%20Linux   9.1             -                           EOL         2022-11-26  -           -           2022-11-15  5.14.0-162.6.1          -
rockylinux-9.2      Rocky%20Linux   9.2             -                           EOL         2023-05-16  -           -           2023-05-10  5.14.0-284.11.1         -
rockylinux-9.3      Rocky%20Linux   9.3             -                           EOL         2023-11-20  -           -           2023-11-07  5.14.0-362.8.1          -
rockylinux-9.4      Rocky%20Linux   9.4             -                           EOL         2024-05-09  -           -           2024-04-30  5.14.0-427.13.1         -
rockylinux-9.5      Rocky%20Linux   9.5             Blue%20Onyx                 EOL         2024-11-19  -           -           2024-11-12  5.14.0-503.14.1         -
rockylinux-9.6      Rocky%20Linux   9.6             Blue%20Onyx                 -           2025-06-04  -           -           2025-05-20  5.14.0-570.17.1         -
rockylinux-10.0     Rocky%20Linux   10.0            Red%20Quartz                -           2025-06-11  -           -           2025-05-20  6.12.0-55.12.1          -
miraclelinux-8.4    Miracle%20Linux 8.4             -                           EOL         2021-10-04  -           -           2021-05-18  4.18.0-305.el8          -
miraclelinux-8.6    Miracle%20Linux 8.6             -                           EOL         2022-11-01  -           -           2022-05-10  4.18.0-372.el8          -
miraclelinux-8.8    Miracle%20Linux 8.8             -                           EOL         2023-10-05  -           -           2023-05-16  4.18.0-477.el8          -
miraclelinux-8.10   Miracle%20Linux 8.10            Peony                       -           2024-10-17  -           -           2024-05-22  4.18.0-553.el8_10       -
miraclelinux-9.0    Miracle%20Linux 9.0             -                           EOL         2022-11-01  -           -           2022-05-17  5.14.0-70.el9           -
miraclelinux-9.2    Miracle%20Linux 9.2             -                           EOL         2023-10-05  -           -           2023-05-10  5.14.0-284.el9          -
miraclelinux-9.4    Miracle%20Linux 9.4             Feige                       EOL         2024-09-02  -           -           2024-04-30  5.14.0-427.13.1.el9_4   -
miraclelinux-9.6    Miracle%20Linux 9.6             Feige                       -           2025-07-14  -           -           2025-xx-xx  5.14.0-570.16.1.el9_6   -
opensuse-leap-15.0  openSUSE        15.0            -                           EOL         2018-05-25  2019-12-03  -           -           4.12                    -
opensuse-leap-15.1  openSUSE        15.1            -                           EOL         2019-05-22  2021-01-31  -           -           4.12                    -
opensuse-leap-15.2  openSUSE        15.2            -                           EOL         2020-07-02  2021-12-31  -           -           5.3.18                  -
opensuse-leap-15.3  openSUSE        15.3            -                           EOL         2021-06-02  2022-12-31  -           -           5.3.18                  -
opensuse-leap-15.4  openSUSE        15.4            -                           EOL         2022-06-08  2023-12-31  -           -           5.14.21                 -
opensuse-leap-15.5  openSUSE        15.5            -                           EOL         2023-06-07  2024-12-31  -           -           5.14.21                 -
opensuse-leap-15.6  openSUSE        15.6            -                           -           2024-06-12  2025-12-31  -           -           6.4                     -
opensuse-leap-16.0  openSUSE        16.0            -                           -           2025-10-01  2027-10-31  -           -           6.12                    -
opensuse-tumbleweed openSUSE        tumbleweed      -                           -           2014-11-xx  20xx-xx-xx  -           -           -                       -
windows-10-22h2     windows         10.0-22h2       -                           ESU         2022-10-18  2025-10-14  -           -           -                       -
windows-11-24h2     windows         11.0-24h2       -                           -           2024-10-01  2026-10-13  -           -           -                       -
windows-11-25h2     windows         11.0-25h2       -                           -           2025-09-30  2027-10-12  -           -           -                       -
memtest86plus       memtest86plus   7.20            -                           -           20xx-xx-xx  20xx-xx-xx  -           -           -                       -
winpe-x86           winpe-x86       -               -                           -           20xx-xx-xx  20xx-xx-xx  -           -           -                       -
winpe-x64           winpe-x64       -               -                           -           20xx-xx-xx  20xx-xx-xx  -           -           -                       -
ati2020x86          ati2020x86      -               -                           -           20xx-xx-xx  20xx-xx-xx  -           -           -                       -
ati2020x64          ati2020x64      -               -                           -           20xx-xx-xx  20xx-xx-xx  -           -           -                       -
